,SiteID,CommonName,Year,GrowthRate,ResStatus,WinterStage,HostCategory,Hostplant_Specialism_Score,Voltinism,WingSize_meanFemale,Wetland,Disturbed
51459,2,Wild Indigo Duskywing,1997,0.10270208777222001,2.0,2.0,1.0,3.0,3,1.7,0,1
4071,2,Baltimore,2016,1.308395742066787,2.0,2.0,1.0,3.0,1,2.8,1,0
4070,2,Baltimore,2015,-0.12172487586536118,2.0,2.0,1.0,3.0,1,2.8,1,0
4069,2,Baltimore,2014,-0.6049291701238886,2.0,2.0,1.0,3.0,1,2.8,1,0
4068,2,Baltimore,2013,0.04553545944271309,2.0,2.0,1.0,3.0,1,2.8,1,0
51465,2,Wild Indigo Duskywing,2003,1.492036937457569,2.0,2.0,1.0,3.0,3,1.7,0,1
4067,2,Baltimore,2012,-0.7660848100481011,2.0,2.0,1.0,3.0,1,2.8,1,0
4065,2,Baltimore,2010,-0.37125553903792285,2.0,2.0,1.0,3.0,1,2.8,1,0
4064,2,Baltimore,2009,-0.7492722107395244,2.0,2.0,1.0,3.0,1,2.8,1,0
4063,2,Baltimore,2008,3.923512584363821,2.0,2.0,1.0,3.0,1,2.8,1,0
4062,2,Baltimore,2007,-0.9307551768676174,2.0,2.0,1.0,3.0,1,2.8,1,0
4061,2,Baltimore,2006,141.13153938683413,2.0,2.0,1.0,3.0,1,2.8,1,0
4060,2,Baltimore,2005,-0.48716210361882517,2.0,2.0,1.0,3.0,1,2.8,1,0
28075,2,Little Glassy Wing,2016,1.528766796399228,2.0,2.0,2.0,1.0,2,1.4,0,0
28074,2,Little Glassy Wing,2015,0.6319484187108524,2.0,2.0,2.0,1.0,2,1.4,0,0
28073,2,Little Glassy Wing,2014,1.751342712933981,2.0,2.0,2.0,1.0,2,1.4,0,0
28072,2,Little Glassy Wing,2013,-0.769124711299199,2.0,2.0,2.0,1.0,2,1.4,0,0
4066,2,Baltimore,2011,0.5319115417476767,2.0,2.0,1.0,3.0,1,2.8,1,0
35524,2,Northern Pearly-Eye,2003,3.1979306707103126,2.0,2.0,2.0,3.0,2,2.8,1,0
51466,2,Wild Indigo Duskywing,2004,-0.4120277316568123,2.0,2.0,1.0,3.0,3,1.7,0,1
51468,2,Wild Indigo Duskywing,2006,0.40017528951021664,2.0,2.0,1.0,3.0,3,1.7,0,1
35526,2,Northern Pearly-Eye,2005,6.911209618617827,2.0,2.0,2.0,3.0,2,2.8,1,0
35527,2,Northern Pearly-Eye,2006,0.11341653035954802,2.0,2.0,2.0,3.0,2,2.8,1,0
35528,2,Northern Pearly-Eye,2007,-0.8418735578649327,2.0,2.0,2.0,3.0,2,2.8,1,0
35529,2,Northern Pearly-Eye,2008,-0.09709231194867973,2.0,2.0,2.0,3.0,2,2.8,1,0
35530,2,Northern Pearly-Eye,2009,0.5015442710638747,2.0,2.0,2.0,3.0,2,2.8,1,0
35531,2,Northern Pearly-Eye,2010,7.407530411752656,2.0,2.0,2.0,3.0,2,2.8,1,0
35532,2,Northern Pearly-Eye,2011,-0.850264599683821,2.0,2.0,2.0,3.0,2,2.8,1,0
35533,2,Northern Pearly-Eye,2012,2.253933883171024,2.0,2.0,2.0,3.0,2,2.8,1,0
35534,2,Northern Pearly-Eye,2013,-0.6379011746687098,2.0,2.0,2.0,3.0,2,2.8,1,0
35535,2,Northern Pearly-Eye,2014,-0.26031266701565936,2.0,2.0,2.0,3.0,2,2.8,1,0
51467,2,Wild Indigo Duskywing,2005,2.042416515366919,2.0,2.0,1.0,3.0,3,1.7,0,1
35536,2,Northern Pearly-Eye,2015,2.3081174915088263,2.0,2.0,2.0,3.0,2,2.8,1,0
51478,2,Wild Indigo Duskywing,2016,0.17132004320064764,2.0,2.0,1.0,3.0,3,1.7,0,1
51477,2,Wild Indigo Duskywing,2015,-0.6012330653920088,2.0,2.0,1.0,3.0,3,1.7,0,1
51476,2,Wild Indigo Duskywing,2014,0.3615423248766916,2.0,2.0,1.0,3.0,3,1.7,0,1
51475,2,Wild Indigo Duskywing,2013,1.3205762468285802,2.0,2.0,1.0,3.0,3,1.7,0,1
51474,2,Wild Indigo Duskywing,2012,-0.7768642112904003,2.0,2.0,1.0,3.0,3,1.7,0,1
51473,2,Wild Indigo Duskywing,2011,-0.439916314199297,2.0,2.0,1.0,3.0,3,1.7,0,1
51472,2,Wild Indigo Duskywing,2010,1.5790793404497934,2.0,2.0,1.0,3.0,3,1.7,0,1
51471,2,Wild Indigo Duskywing,2009,-0.30895539585882814,2.0,2.0,1.0,3.0,3,1.7,0,1
51470,2,Wild Indigo Duskywing,2008,0.04314964281881606,2.0,2.0,1.0,3.0,3,1.7,0,1
51469,2,Wild Indigo Duskywing,2007,-0.0017606580024424057,2.0,2.0,1.0,3.0,3,1.7,0,1
35537,2,Northern Pearly-Eye,2016,4.721825518234922,2.0,2.0,2.0,3.0,2,2.8,1,0
28071,2,Little Glassy Wing,2012,1.1454673745471413,2.0,2.0,2.0,1.0,2,1.4,0,0
3075,2,Azures,2011,-0.03536856179742354,2.0,3.0,3.0,4.0,3,1.42,0,1
3073,2,Azures,2009,-0.5951195068500316,2.0,3.0,3.0,4.0,3,1.42,0,1
12618,2,Coral Hairstreak,1997,2.675433757630999,2.0,1.0,3.0,3.0,1,1.7,0,0
12619,2,Coral Hairstreak,1998,-0.9154814381310824,2.0,1.0,3.0,3.0,1,1.7,0,0
12620,2,Coral Hairstreak,1999,2.170075525709425,2.0,1.0,3.0,3.0,1,1.7,0,0
12621,2,Coral Hairstreak,2000,-0.07361667760807,2.0,1.0,3.0,3.0,1,1.7,0,0
12622,2,Coral Hairstreak,2001,-0.7753824649702714,2.0,1.0,3.0,3.0,1,1.7,0,0
12623,2,Coral Hairstreak,2002,-0.18503865536235597,2.0,1.0,3.0,3.0,1,1.7,0,0
12624,2,Coral Hairstreak,2003,0.5605959015038122,2.0,1.0,3.0,3.0,1,1.7,0,0
